,reviews
184,"
I am using Samsung brand more than 10 years and this is first time I see Samsung has improved a lot. No lags, superfast phone, superfast charging, super display, many features, best camera. That's why I said android iPhone 😄Just one thing battery should be 4500mah for small size S23 that will last long. While using camera, battery drains superfast and mobile temperature goes up and up.
"
185,"
The size of the phone is perfect and best for daily jeans wared person and easily fit in skin fit jeans alsoBut the price is very high as compared to its competitors.
"
186,"
Likes1. Display2. Sound3. Form factor and sizeDislike1. Wanted to have more battery back up2. Typing is slightly difficult owing to small size3. No macro mode
"
187,"
Value for money
"
188,"
There was no apparent body damage. However, delivery agent charged us for body damage
"
189,"




                    The media could not be loaded.
                



 Wish they made more phones like the s23!For people who like small and sleek phones this is an absolute must have!There will always be something that's a bit off in any premium phones but as far as my recollection for this device, there's nothing such (for me atleast).The design, the camera (AND THE CAMERA PLACEMENTS!!!!!), the processor, the battery, the super fast charging, the ui and everything else about this phone is brilliance in itself. Samsung has really outdone itself in every department here and I love that a big brand really listens and makes devices that cater to an audience.  I did not have to think twice before getting this one. Way to go Samsung, you got me hooked!!!Edit: Night photography and astrophotography is just 🫶
"
190,"
Camera is not upto the mark!!!
"
191,"
Upgraded from Samsung M33. Samsung UI, small size, SD 8 Gen 2, Awesome display, Pro grade camera biggest USPs in the phone. Battery life is average. But cant complain as its just 3900 mAh. Turn on adaptive battery, power saving routine during sleep AOD off, will easily last for 6 hours SOT. Fast and responsive. Even on light performance mode where processing is limited to about 70%, its quick and no lag. 8 gb ram is very optimized.
"
192,"
Look is good,Phone is heating..!Will review again after few daysBattery the first charging is ON
"
193,"
Great CameraGreat displayGreat Battery Life - It will take about 1 week to  learn the usage pattern, after that battery life will see improvement. I tested with adaptive battery and light performance mode and 100% to 7% gave me 7h 40m sot using numerous apps and 1d 6h total with 2h 33m remaining.Once you properly opmitize the phone, you can get the most out of it. Played Genshin Impact and it was awesome and no heating issues as well.4 years of os updates and 5 years of security updates.
"
194,"
A compact phone that handles anything with ease.Loving the features and customizations offered at all levels in the software.A worthy upgrade!
"
195,"
The only good thing about this phone is its camera. Battery drains really fast which is not expected from a flagship phone.definitely not worth 80k
"
196,"
Cameras, Display, Build, In-hand feel, speaker, battery great.Fingerprint is also great without screen guard, with can cause problems.Battery is good for normal use, but while using camera it drains fast, point to remember.UI is very smooth, never saw frame drops.All this after using for 15+ daysWorth every penny, great if u get under 60k
"
197,"
IN all categories it rocks,
"
198,"
Amazing phone from Samsung this time. Performance is superb and no heating issues. Battery performance is also improved, it will last you whole day with moderate use. Software is smooth and lag free. Camera is next level, night performance is very good. Compact size and easy to use. If you can get it within 60k then best deal in flagship category.Go for it.
"
199,"
Its the apple of android pure premium experience and mesmerizing display.
"
200,"
Awesome 👌
"
201,"
The looks , feel and balance is perfect ! Performance satisfactory for the past 2 months. The phone however lacks a proper utilisation manual and therefore, I am certain 90% of the users are not exploiting the phone, much beyond 50 % ! A training manual is a must a hard copy or soft copy ! Though this is a common problem with all medium to high end smartphones!
"
202,"
Speaker is not loud.Hotspot not giving enough signal.2nd SIM loose signal frequntly
"
203,"
Excellent performance..but sometimes heating issue arrived..90min take for full charge with Samsung 45watt super fast charger..Camara quality good but not like iphone 14..i buy this with good exchange price rs 57,000/-..8gb 256 variant..
"
204,"
Don't buy if you play heavy games. It's not a gaming phone. Rest of the phone is pure magic. The size, camera, audio, battery, performance, everything. You won't be able to go back to a large phone after this.
"
205,"
Baught 256gb under 50k after exchanging my phone. Awesome phone.I don't see significant improvement in camera with older generation. But It is most secure Android phone with lots of feature such as ultrasonic fingerprint and with samsung wallet you do not need to carry your physical document or plastic money with you.
"
206,"
heating issue is prime, battery drains fast.
"
207,"
No complaints so far. Awesome battery and fabulous camera. The phone looks and feels premium.Pro tip: The exchange program with Amazon is much more hassle free and smooth. So if you are planning to exchange ur phone, go with Amazon rather than Flipkart, if you have the option.
"
208,"
Never was a Android user but gifted this to wife. It's just an amazing phone. Camera is too good.
"
209,"
Good one in mid range
"
210,"
Durability of phone is really good. I don't usually write review.. but experience of this phone is so great that had made me write this review. Go for it without any thinking of you are looking for compact allrounder phone
"
211,"
So far, everything is excellent. Nothing to complain about. Battery life, camera , display, UI, everything is top notch.
"
212,"
Mos of the s23 devices are facing banagate camer blurr issue where when you take some picture on the left and bottom side you will see camer blurr you can notice mainly on images that has text on it
"
213,"
You will not regret buying...
"
214,"
One Best android phone.. Super Batery.. Best Camera and Beast performance.
"
215,"




                    The media could not be loaded.
                



 Best
"
216,"
Product is like OK.Camera is awesome.Battery backup bit low.
"
217,"
It's a great device for those who want a compact smartphone with every best possible thing in a smartphone. the in-hand feel is just amazing and the fluidityis just at par with any flagship costing 1 lakh plus.The best thing is the display in my opinion.
"
218,"
Good work done by Samsung again. Compact, light and almost bezel less, very easy to use.
"
219,"
You can feel the power of the latest SD processor. Its a great alternative to iPhone for sure.
"
220,"
After using Samsung Galaxy S23 Ultra for quite a bit as a daily driver and coming back to Samsung after a long time after using other smaller form factor phones like ONEPLUS 9, here's what I think about this phone.PROS:- This phone has the best camera ever installed into a smartphone, hands-down! No other phone made in human history can ever come close to 1% of what Samsung Galaxy S23 Ultra's cameras can do.- Performance is crazy! Not only it has Snapdragon 8Gen-2, but that too custom-made for Samsung Galaxy phones. You can play any games, run any apps and do whatever you'd want from a phone that is used at work, gaming, taking photos/videos and for personal use at the same time.- Rectangular form factor of this phone makes it so much comfortable and easy to hold. And it looks very premium too, which obviously is expected from a phone that costs this much.- OneUI has so many great features that they cannot be listed in one place. It brings a whole new meaning to ""smart"" in smartphones. Previously only Apple was making real smartphones that were actually smart and now with OneUI 5.1, Samsung has joined the league and probably done a better job than Apple at this point.- Good Lock modules + OneUI 5.1 has such a tremendous level of customization in terms of many aspects of the usability. It doesn't have all of it, to which I'll come in ""CONS"" section.- Charging time is good, reverse charging and wireless charging are such a sweet add-on that helps and makes the experience really good.- S-Pen does the wonders! Very useful specially for those who use their phone for professional work like eSigning and other precision work.- Build quality and software are really premium, you'll know you've sold a kidney when you hold this phone in your hands and turn up the max resolution on display.- S23 Ultra is slightly more flat on sides as compared to S22 Ultra which makes it a more usable phone.CONS:- Now, since this phone has a curved display which adds no usability but makes it little difficult to use for people with smaller hands or to reach to corners with one hand, it becomes little hard to get used to this kind of display even if you've used a curved display phone with smaller form factor before because S23 Ultra is HUGE!- Another issue with curved screen, since there's a decent curve in screen, finding a screen protector is really hard! Tempered glasses don't fit well, they get spaced by covers/cases, Samsung officially doesn't make tempered glass for S23 Ultra. Samsung sells a thin membrane sheet for ₹1,500/- which has a cutout for camera and collects dust. Having no screen protection means having your second kidney at risk too!- No charger in the box (ugh) and the cable that comes with it is really flimsy. Doesn't look like it came with a flagship phone. ONEPLUS makes 10x better cables so better buy one from them.- A phone this expensive should have all the necessary features right? But the OneUI 5.1 doesn't come with an app lock. Samsung Secure Folder is nice but not usable for a day-to-day use. Secure Folder is fine for hiding images and apps but not convenient for daily access. There's no Good Lock module to have app lock either.- OneUI 5.1 (unlike many other UIs like OxygenOS 13 and ColorOS 13) doesn't give option to rename apps in app drawer. Ability to use 3rd party icon packs just came recently. And installing a 3rd party launcher kind of ruins the UI for recent apps screen.- OneUI 5.1 requires installation of a 3rd party Good Lock module to even configure what icons will appear on your navigation bar.- Overall this is a really good phone, best I'd say! But OneUI 5.1 lacks some basic features which should've been implemented.- But other than these minor software issues and some hardware inconveniences, this phone is definitely a recommendation.
"
221,"
Pros : Screen, Camera.Cons :1) Speaker Loudness. Even my old Poco M4 Pro which costs only like 14k, sounds much much louder than this. And this phone also has a ""FAKE"" Dolby Atmos feature.I said fake, because just try playing a song with Dolby Atmos Enabled & Disabled & it will have ZERO effect on the song. I tried to increase the loudness using 3rd party volume boosters but it did not work.I don't know why Samsung used such inferior speakers in their highest end flagship phone. iPhone 14 Pro Max would have been 10-20 times more louder. Even my ages old iPhone 5S sounds louder with only a single speaker.2) No Charger in the box, No Screen Protector & Back Cover etc. Have to buy everything separately & it's a hell of a task to get a good screen protector for this phone. With this Price tag, Samsung could easily give a 25W Charger also but they decided to give only a charging cable which can't even support 45W Super Fast Charging 2.0 which this phone supports. Oh yeh I forgot that, they also gave a hugely demanding Sim card ejector lol.@Samsung, Please do one thing. Charge 2-3 Lacs for your phones & only send the phones in the box, no need to give the cable & the sim ejector too, because if we can buy the charger, screen protector & back covers separately after paying such huge amount for the phone, then we can also buy a good quality cable & sim ejector.3) Samsung also falsely claiming the battery capacity as 5000 mAH but in reality it's 4855 mAH as reported by all the battery apps like Ampere app which you can download from the PlayStore. And the battery is only Li-Ion & not Li-Polymer which should have been given by Samsung at this price point. Li-Ion batteries will keep demeriting over time but Li-Polymer batteries generally last much longer.. Battery is life also poor. Does not last a full day with moderate usage.4) Samsung also claims that this phone supports IP68 water & dust resistant but they have mentioned on their official site, not to submerge the phone into water & that this phone can lost the resistance to water over time with general wear & tear. iPhone 14 Pro Max on the other hand can be submerged into water up-to 30 meters, which gives that phone much better protection against water specially if we mistakenly drop the phone into water & water makes it way into the phone by any chance.5) Removed 1 more Star as Type C to 3.5 mm converters DO NOT WORK even though these are working properly with all my older phones from other companies, so you can't use any of your 3.5 mm headphones with this phone & you will have to buy a Type C to 3.5 mm converter with DAC from a reputed company, which will again cost more than 1000-2000 extra.Samsung has intentionally disabled support for 3rd party converters because they want you to buy the converter from them too.Overall, not satisfied after spending such huge on the phone & then having to spend thousands of more rupees for all the accessories  & getting low sounding speakers.
"
222,"
I'm very satisfied with the product .mine is s23 512gb .I'm also very great full as they delivered phone 3 days earlier with safe and sound.
"
223,"
Phone pic zoom is very nice
"
224,"
Everything is great except finger print unlock and face unlock, my previous oppo phone is much faster than this
"
225,"
This phone is very good allrounder with very beautiful display to watch Netflix YouTube etc, good battery backup and best phone camera ever with premium build quality by Samsung.Im generally an apple lover and I'm using apple only phones since iphone 6s upto my current iPhone 13 pro as my primary phone and I earlier I used to purchase Android phones  as my back up phones like one plus 9,Vivo x80 pro but none of them amazed me with their outstanding performance like samsung. Its a costly phone but well worth it and infact I will not buy any iphone again anytime soon and this phone will definitely replace my current iPhone as my primary phone.
"
226,"
Far better than iphone in terms of everything. And i heard everyone talking about iphones video recording is better, just try this phone and you will understand. I didn't compare it with iphone in video recording but its the best ive ever seen on an android and in photography this one is the clear winner that i can confidently say. Portrait is damn good
"
227,"
This is first time I am using flagship and it is worthThank God i choose this over iPhone
"
228,"
Used since 1 JulyCamera 10/10Battery 9/10Display 10/10Overall performance 9/10
"
229,"
Always been fan of Galaxy note series. S23 ultra is packed with features. Great for big screen lovers. Camera is just too good. Don't need DSLR anymore...
"
230,"
After using Samsung Galaxy S23 Ultra for quite a bit as a daily driver and coming back to Samsung after a long time after using other smaller form factor phones like ONEPLUS 9, here's what I think about this phone.PROS:- This phone has the best camera ever installed into a smartphone, hands-down! No other phone made in human history can ever come close to 1% of what Samsung Galaxy S23 Ultra's cameras can do.- Performance is crazy! Not only it has Snapdragon 8Gen-2, but that too custom-made for Samsung Galaxy phones. You can play any games, run any apps and do whatever you'd want from a phone that is used at work, gaming, taking photos/videos and for personal use at the same time.- Rectangular form factor of this phone makes it so much comfortable and easy to hold. And it looks very premium too, which obviously is expected from a phone that costs this much.- OneUI has so many great features that they cannot be listed in one place. It brings a whole new meaning to ""smart"" in smartphones. Previously only Apple was making real smartphones that were actually smart and now with OneUI 5.1, Samsung has joined the league and probably done a better job than Apple at this point.- Good Lock modules + OneUI 5.1 has such a tremendous level of customization in terms of many aspects of the usability. It doesn't have all of it, to which I'll come in ""CONS"" section.- Charging time is good, reverse charging and wireless charging are such a sweet add-on that helps and makes the experience really good.- S-Pen does the wonders! Very useful specially for those who use their phone for professional work like eSigning and other precision work.- Build quality and software are really premium, you'll know you've sold a kidney when you hold this phone in your hands and turn up the max resolution on display.- S23 Ultra is slightly more flat on sides as compared to S22 Ultra which makes it a more usable phone.CONS:- Now, since this phone has a curved display which adds no usability but makes it little difficult to use for people with smaller hands or to reach to corners with one hand, it becomes little hard to get used to this kind of display even if you've used a curved display phone with smaller form factor before because S23 Ultra is HUGE!- Another issue with curved screen, since there's a decent curve in screen, finding a screen protector is really hard! Tempered glasses don't fit well, they get spaced by covers/cases, Samsung officially doesn't make tempered glass for S23 Ultra. Samsung sells a thin membrane sheet for ₹1,500/- which has a cutout for camera and collects dust. Having no screen protection means having your second kidney at risk too!- No charger in the box (ugh) and the cable that comes with it is really flimsy. Doesn't look like it came with a flagship phone. ONEPLUS makes 10x better cables so better buy one from them.- A phone this expensive should have all the necessary features right? But the OneUI 5.1 doesn't come with an app lock. Samsung Secure Folder is nice but not usable for a day-to-day use. Secure Folder is fine for hiding images and apps but not convenient for daily access. There's no Good Lock module to have app lock either.- OneUI 5.1 (unlike many other UIs like OxygenOS 13 and ColorOS 13) doesn't give option to rename apps in app drawer. Ability to use 3rd party icon packs just came recently. And installing a 3rd party launcher kind of ruins the UI for recent apps screen.- OneUI 5.1 requires installation of a 3rd party Good Lock module to even configure what icons will appear on your navigation bar.- Overall this is a really good phone, best I'd say! But OneUI 5.1 lacks some basic features which should've been implemented.- But other than these minor software issues and some hardware inconveniences, this phone is definitely a recommendation.
"
231,"
Pros : Screen, Camera.Cons :1) Speaker Loudness. Even my old Poco M4 Pro which costs only like 14k, sounds much much louder than this. And this phone also has a ""FAKE"" Dolby Atmos feature.I said fake, because just try playing a song with Dolby Atmos Enabled & Disabled & it will have ZERO effect on the song. I tried to increase the loudness using 3rd party volume boosters but it did not work.I don't know why Samsung used such inferior speakers in their highest end flagship phone. iPhone 14 Pro Max would have been 10-20 times more louder. Even my ages old iPhone 5S sounds louder with only a single speaker.2) No Charger in the box, No Screen Protector & Back Cover etc. Have to buy everything separately & it's a hell of a task to get a good screen protector for this phone. With this Price tag, Samsung could easily give a 25W Charger also but they decided to give only a charging cable which can't even support 45W Super Fast Charging 2.0 which this phone supports. Oh yeh I forgot that, they also gave a hugely demanding Sim card ejector lol.@Samsung, Please do one thing. Charge 2-3 Lacs for your phones & only send the phones in the box, no need to give the cable & the sim ejector too, because if we can buy the charger, screen protector & back covers separately after paying such huge amount for the phone, then we can also buy a good quality cable & sim ejector.3) Samsung also falsely claiming the battery capacity as 5000 mAH but in reality it's 4855 mAH as reported by all the battery apps like Ampere app which you can download from the PlayStore. And the battery is only Li-Ion & not Li-Polymer which should have been given by Samsung at this price point. Li-Ion batteries will keep demeriting over time but Li-Polymer batteries generally last much longer.. Battery is life also poor. Does not last a full day with moderate usage.4) Samsung also claims that this phone supports IP68 water & dust resistant but they have mentioned on their official site, not to submerge the phone into water & that this phone can lost the resistance to water over time with general wear & tear. iPhone 14 Pro Max on the other hand can be submerged into water up-to 30 meters, which gives that phone much better protection against water specially if we mistakenly drop the phone into water & water makes it way into the phone by any chance.5) Removed 1 more Star as Type C to 3.5 mm converters DO NOT WORK even though these are working properly with all my older phones from other companies, so you can't use any of your 3.5 mm headphones with this phone & you will have to buy a Type C to 3.5 mm converter with DAC from a reputed company, which will again cost more than 1000-2000 extra.Samsung has intentionally disabled support for 3rd party converters because they want you to buy the converter from them too.Overall, not satisfied after spending such huge on the phone & then having to spend thousands of more rupees for all the accessories  & getting low sounding speakers.
"
232,"
I'm very satisfied with the product .mine is s23 512gb .I'm also very great full as they delivered phone 3 days earlier with safe and sound.
"
233,"
Phone pic zoom is very nice
"
234,"
Everything is great except finger print unlock and face unlock, my previous oppo phone is much faster than this
"
235,"
This phone is very good allrounder with very beautiful display to watch Netflix YouTube etc, good battery backup and best phone camera ever with premium build quality by Samsung.Im generally an apple lover and I'm using apple only phones since iphone 6s upto my current iPhone 13 pro as my primary phone and I earlier I used to purchase Android phones  as my back up phones like one plus 9,Vivo x80 pro but none of them amazed me with their outstanding performance like samsung. Its a costly phone but well worth it and infact I will not buy any iphone again anytime soon and this phone will definitely replace my current iPhone as my primary phone.
"
236,"
Far better than iphone in terms of everything. And i heard everyone talking about iphones video recording is better, just try this phone and you will understand. I didn't compare it with iphone in video recording but its the best ive ever seen on an android and in photography this one is the clear winner that i can confidently say. Portrait is damn good
"
237,"
This is first time I am using flagship and it is worthThank God i choose this over iPhone
"
238,"
Used since 1 JulyCamera 10/10Battery 9/10Display 10/10Overall performance 9/10
"
239,"
Always been fan of Galaxy note series. S23 ultra is packed with features. Great for big screen lovers. Camera is just too good. Don't need DSLR anymore...
"
240,"
Awesome
"
241,"
Samsung ultra S23 is beast phone from Samsung, it has awesome battery backup, display,UI, performance...etc.I moved from Iphone 12 to S23U and data migration was seamless with help smart switch app. 100% all the data is migrated to S23U.Camera & display is world class. I am loving it
"
242,"
Liked this phone a lot.
"
243,"
I got this phone just before making an international Trip. The phone served me really well. It's been super smooth and I've received a lot of compliments for my photos (Hey maybe that's also some part due to my skill, yes?).But the phone has a great battery life, quite often I'd come back home with around 50% battery (with BT and Loc on).  Mostly not with Power Saver on, but I did keep it on on some days initially.I hardly use the S-pen, mostly due to no habit, but it seems a cool addition for those with smaller hands. For me, I have giant Hands, so i can easily use the entire phone with my two hands.I would recommend this phone if you are looking for a premium product. The specifications obviously show a significant difference between the Ultra and the normal Samsung S23.
"
244,"
This is one of the best phones ever.  Totally worth its cost. I hope to use it for more than 5 years.
"
245,"




                    The media could not be loaded.
                



 Good phone
"
246,"
Great product
"
247,"
Nice phones
"
248,"
Best phone i ever used. Premium experience.
"
249,"
I was samsung follower sing samsung galaxy series,  bit last time purchased google pixel 7pro 256gb. And found that it was good phone but no call recorder,  and it's camera was best then I compared my pixel with S23ultra and found there was not that much difference yes pixel camera was a bit good but I am not that professional or like that but found that apart from camera everything else is best in samsung s23ultra ..Also there was in built "" Call recorder "" which I always needed and that was main point where pixel was lagging behind .... and also found samsung galaxy s23ultra way more fast and efficient than pixel also there was no heating issue like pixel in this samsung galaxy s23 ultra....also I was never apple fan and never found it worth compared samsung, used apple 14 ,apart from camera where there may be difference of 0.5% between samsung and apple camera apple is over hyped and not a value for money phone and also you can't run multiple apps in background in apple and no call recorder also there is no back button or symbol in apple it's random some times you swipe it sometime some app has cross symbol in any corner that you have to search....better go for samsung it's always value for money. This review is not paid I have used all three master phones apple 14 pro, pixel and now samsung s23ultra....found S23 ultra to be the winner.
"
250,"
Camera takes blur picture with 200 mp and 50 mp.
"
251,"
Simply superb 👌
"
252,"
A smart phone thats worth the hype. Beats the competition with its features. I'm expecting some features to be fine tuned in future updates.
"
253,"
I'm in love with the quality of images clicked on this phone. As a traveler, it comes very handy to click pictures instantly. 10X on this phone is the best thing ever. I am able to click amazing bird shots which makes it hard for people to believe that those are captured on phone. Battery life is outstanding.Only thing I am not that satisfied with this phone is not a great focus when you get close to subject, macro shots aren't that great compared to iphone 14 pro. Rest everything just perfect.
"
254,"
The best phone as on date that the money can buy.. extremely satisfied and would recommend to others
"
255,"
This is best phone, samsung give his best. You experience a new tech and many features.Camera display speed better than iPhone.
"
256,"
Awesome camera and features but fingerprint sensor sucks. It always fails to read fingerprint and says fingerprint doesnt match. Phone unlocks in 3rd or 4th try everytime.
"
257,"
My phone slept from.my hand and drop from 4 feet and screen totally damaged. Its gorila glas vicrus then how its posssible. Screen quality is very poor. Samsung pls make better quality.phones as you charge 1.25 lakh for yhe same
"
258,"
Master in everything...can't describe in word's, you have to experience it yourself...This smartphone is Absolute perfection... can't get anything better then this..
"
259,"
Flagship one
"
260,"
I am not an avid phone user, for me this one is way beyond what I really need from a phone, its artificial but yea you can capture moon, its fun to see how the AI detects moon and artificially replace the moon image. camera is outstanding, performance is mind blowing never have to even think of the word hang, battery is awesome for my usage almost 2 days, only drawback(not a drawback in fact) is its big.
"
261,"
Just wanted to add my 2 words for this masterpiece.
"
262,"
Best phone ever!! if you can afford it then go for it
"
263,"
When it comes to the Galaxy S23 Ultra's outstanding capabilities, the camera is merely the tip of the iceberg. The gadget is really quick and has a potent CPU that can easily handle even the most taxing programmes and games. With its spectacular 6.8-inch Dynamic display, which offers stunning images and vivid colours that make everything from streaming video to browsing the web enjoyable, the device is truly stunning.
"
264,"
Samsung doing great things with s23 ultra, best choice to purchase this phone
"
265,"
This mobile is expensive but comes with lot of features too. I don't like few things, when purchasing such costly mobile and not get the extra goodies feels bad. No travel adapter, no buds,no jack for wire headphones. Disappointing. Some people like me are first time buyers for fast charging.
"
266,"
I HAD THIS DREAM OF USING GALAXY NOTE FROM CHILDHOOD I WAS USING ONEPLUS 6T MCLAREN EDITION BEFORE IT LASTED FOR 5 YEARS STILL WORKING I WAS UANBLE TO CHOOSE WHICH PHONE TO GET ONEPLUS WAS NOT GOOD LIKE BEFORE SO DECIDED TO GIVE A TRY TO MY DREAM PHONEFINALLY HAPPY WITH ITTHE CAMERA DISPLAY SPEN ALL FEATURES ARE OUTSTANDING I LIKE THE BATTERY LIFE PRETTY GOOD
"
267,"
Very good phone as we can expect this at the price, S pen will give u a very higher feeling, camera, display, sound all are too good. I brought it at Rs. 109000/- after exchanging my broken oneplus display wala phone at 5000 + 10000 extrq discount. Actually price they are gaking now is too much, after an year it will drop down a lot, so my suggestion will be, if u can wait, then you can buy at a very lower price.
"
268,"
Camera 5/5Display 5/5Performance 5/5Battery 5/5Sound 5/5Vibration 4/5
"
269,"
Great phone with great features, with high price as well lol!!
"
270,"
Good phone
"
271,"
Overall super
"
272,"
This is my first Samsung  phone. I shifted from One plus 10 to Galaxy S23 ultra and I must say it is the best decision I made to switch for S23 ultra. Great picture quality, super fast processing, build quality is perfect. Camera is the best.
"
273,"
👍👍👍👍👍
"
274,"
Switched from iPhone 12 pro max to S23 Ultra for some reason. S23 Ultra is superfast, stylish and has very big screen but feeling somewhat inconvenient who used to iPhone. No regret for buying.
"
275,"
+ unmatched S-Pen that is useful+ Fantastic camera - best I have experienced+ Green is not my favorite color but on S23 ultra it looks awesome. Premium finish+ Big and beautiful display with thin bezels and tiny front camera hole. Great choice for OTT+ feels good and light in hand+ 5G with strong network connectivity+ Samsung UI is clean, no bloatware, Ads, and bugs.  Good customization options+ PERFORMANCE is best+ Samsung watch, earbuds, etc works well together- High price. SAMSUNG MUST MAKE THIS AFFORDABLE. At may be 80K sales can be more than 10 times- Strong competition offering better value (like 80% features at 50% price)
"
276,"
I am already using a s23 and bought this one because of all the praise it's receiving. Have to say that the reviews are almost right about this phone. But I honestly feel that for half the price, vanilla s23 is a far more value for money product than this one. If you like or even okay with smaller phones, s23 just makes more sense. I bought the s23 for 46k after exchanging 3 month old moto edge 30 and s23 ultra for 87k after exchanging 4 month old pixel 6a. One thing I can assure you is that one ui is addictive
"
277,"
i used it for more than a month now. Its just awesome for camera lovers who likes zooming and love to make reels. I made many reels with this phone. Those are superb. Just check my instagram page of sameer_abbas88 for the videos.
"
278,"
After around 4.5 years of extensive one plus 6T usage, finally I decided go for a new phone and did a pre-booking of Samsung s23 ultra.Here I am writing this review with no regrets on my decision ever. Very happy with the one UI experience, super smooth OS and performance, extensive battery life ,unbeatable camera quality, Display and gaming experience. Just go for it guys if you don't have a budget barrier.
"
279,"
Amazing phone, Camera &AI is superb. Face Unlocking sensor is More faster. Cooling system much better than other devices. No heating effect. Don't expect moon photos but you will get premium phone feeling..
"
280,"
Battery life is just crazy good , got 9.5 hours of SOT from 100 to 5% , with mixed usage it will last 1.5 to 2 days. Let it take some time to learn your usage patterns.UI is butter smooth.
"
281,"
Bought it after replacing S22 ultra trusted samsung one more time with this so far its good ...the biggest complain of 22Ultra  i.e. battery life is no longer in this one...Photos also looks quite impoved since 22Ultra..Edit :- battery life is crazy good 10 hours of SOT with Quad Hd resolution and 120Hz and dark theme my S22 ultra was at 30% just after 5 hrs of SOT loving it will use 23 ultra atleast for 3 years
"
282,"
Zabardast
"
283,"
This is an absolute beast of a phone with exceptional performance and battery life. The display and the cameras are top tier and there is not a single thing that you can complain about.
"
284,"
Superb performance, amazing camera..hope future updates can improve battery life
"
285,"
I am coming from s20 fe 5g, everything feels like an upgrade, the screen, the build,  the display, the battery, the speakers. The only think that is still taking time to get used to is the size of it, it's a huge phone, wished it was a tad smaller to like 6.3inch and it would have been in a sweet spot for one hand use. This is the phone to last for several years to come without needing any upgrades.
"
286,"
Best andoid phone ever.Better then iphoneCamera quality is awesome 100x zoom is lob
"
287,"
You can buy it if you can afford it but be sure to protect it as it comes with hefty price. If you are coming from iPhone and want to copy all photos then do it at the time of setting up. I found the battery is regular if we clone iPhone data. If we setup as a fresh phone then it may give good battery life.
"
288,"
Always wondered when samsung will ditch Exynos for Snapdragon for Flagship phones, and finally Snapdragon for Galaxy, no over heating and better optimised phone, battery last almost 36 to 48 hours with normal usage,  I miss the curve edge but it has his own advantage but rest features compensate enough...Thanx Sammy n Amz for the beasty product
"
289,"
Cam is extraordinary I never seen!!
"
290,"
Good phone and great camera
"
291,"
I switched from iPhone 12 to this beast.....Believe me guys this phone is on another level...I was having few other options like 14 pro max , pixel 7 pro , one plus 11 , s23 ultra....after doing a full research I decided to buy this beast...and here I am happy with my decision 😇😇
"
292,"
Upgraded from my galaxy note 9 and I am liking the performance. The camera is easily the highlight of this phone. It takes stunning photos and videos. The ultra series has kept the legacy of the note series alive by keeping the s-pen and bringing the best hardware in the market. I would recommend this phone to anyone who is looking for a flagship device with best on the market hardware
"
293,"
Awesome mobile, very good battery life and very high end performer
"
294,"
Its a phone which is nearly peerless, don't think twice if you have the budget.
"
295,"
The phone is no doubt the best phone in the world right now.Display, camera,performance everything is top notch. Battery backup is also very good. But it is overpriced. Shouldve been under 100k since it is manufactured in india only.
"
296,"
I've noticed that the finger print sensor isn't working after installing a screen protector. I set face unlock but it's unlocking the device after multiple attempts. I hope samsung will fix these issues in security update.
"
297,"
Awesome camera quality and fastest processor ever. 😊😊
"
298,"
Phone is very smooth and camera picture quality is excellent...Battery performance  one and half day it will last and fingerprint reader works well... worth buying this phone..
"
299,"
Happily switched from iphone 13 pro max.Its a joy to hold this phone and use it.My iphone had become useless coz i was not taking pictures anymore from the iphone from the day i got S23 ultra.Best displayBest batteryBest cameraBest speakerBest softwareBest software supportBest customisation ( good lock)Best network reception
"
300,"
A sleek phone compared to the Fold series and as capable
"
301,"
Finally an Android phone which can give iPhone a run for money, excellent specs, Fantastic camera... There are so features which are not talked about.. Samsung needs to market better compared to IPhone... I am quite satisfied with the phone.
"
302,"
Best mobile i have ever used
"
303,"
Samsung S23 ultra looks stunning but improve better
"
304,"




                    The media could not be loaded.
                



 Already put my sim and writing review from this phone only so can only shoot this in front of the mirror.I am a previous note 10+ user (used iPhone 12 in between) so very glad to be back on Samsung and immersive giant screen with vivid colours. Excellent delivery from Amazon. 5star to the seller. 😍😍😍
"
305,"
received a brand new phone and functions are good. struggling for a charger.
"
306,"
Picture Qulity is super .Very smooth
"
307,"
Excellent smartphone
"
308,"
மொபைல் பட்டைய கிளப்புது....!!!!
"
309,"
Display size very good
"
310,"




                    The media could not be loaded.
                



 I have used a lot of Android phones, but S23 Ultra is the best.Pros:Battery lifeCamera (Raw, Astro and Night mode)Ram managementSoftware experienceSuper fast fingerprint sensorGaming experienceDisplayConnectivitySecurity (Knox security)SpeakersFast charging supportIt is the almost perfect Android phone as of 2023Cons:No charger in the box
"
311,"
Beast. All hail. No comparision
"
312,"
Excellent product
"
313,"




                    The media could not be loaded.
                


"
314,"
More than 2 year's I am searching for a deal who will provide all three, smartphone -smartwatch-buds with no compromise in latest technology. I think u all achive u r Target and place a milestone for other's.
"
